Shape,A,d,b,t,k(des),k(det),wt./ft.,Ix,Sx,rx,y(bar),Zx,yp,Iy,Sy,ry,x(bar),Zy,xp,Iz,Sz,rz,TAN a,Qs,J,Cw,ro(bar),H
L6X3-1/2X3/8,3.44,3.5,6,0.375,0.875,0.875,11.7,12.9,3.23,1.93,2.02,5.74,1.41,3.33,1.22,0.984,0.781,2.18,0.287,2.01,1.02,0.763,0.349,0.912,0.168,0.341,2.9,–
L6X3-1/2X5/16,2.89,3.5,6,0.3125,0.813,0.8125,9.8,10.9,2.72,1.94,2,4.84,1.38,2.84,1.03,0.991,0.756,1.82,0.241,1.7,0.859,0.767,0.352,0.826,0.099,0.201,2.92,–
L5X5X7/8,8,5,5,0.875,1.38,1.375,27.2,17.8,5.16,1.49,1.56,9.31,0.8,17.8,5.16,1.49,1.56,9.31,0.8,7.6,3.43,0.971,1,1,2.07,3.53,2.64,0.64
L5X5X3/4,6.98,5,5,0.75,1.25,1.25,23.6,15.7,4.52,1.5,1.52,8.14,0.698,15.7,4.52,1.5,1.52,8.14,0.698,6.55,3.08,0.972,1,1,1.33,2.32,2.67,0.63
L5X5X5/8,5.9,5,5,0.625,1.13,1.125,20,13.6,3.85,1.52,1.47,6.93,0.59,13.6,3.85,1.52,1.47,6.93,0.59,5.62,2.7,0.975,1,1,0.792,1.4,2.7,0.63
L5X5X1/2,4.79,5,5,0.5,1,1,16.2,11.3,3.15,1.53,1.42,5.66,0.479,11.3,3.15,1.53,1.42,5.66,0.479,4.64,2.29,0.98,1,1,0.417,0.744,2.73,0.63
L5X5X7/16,4.22,5,5,0.4375,0.938,0.9375,14.3,10,2.78,1.54,1.4,5,0.422,10,2.78,1.54,1.4,5,0.422,4.04,2.06,0.983,1,1,0.284,0.508,2.74,0.63
L5X5X3/8,3.65,5,5,0.375,0.875,0.875,12.3,8.76,2.41,1.55,1.37,4.33,0.365,8.76,2.41,1.55,1.37,4.33,0.365,3.55,1.83,0.986,1,0.983,0.183,0.327,2.76,0.63
L5X5X5/16,3.07,5,5,0.3125,0.813,0.8125,10.3,7.44,2.04,1.56,1.35,3.65,0.307,7.44,2.04,1.56,1.35,3.65,0.307,3,1.58,0.99,1,0.912,0.108,0.193,2.77,0.63
L5X3-1/2X3/4,5.85,3.5,5,0.75,1.19,1.1875,19.8,13.9,4.26,1.55,1.74,7.6,1.1,5.52,2.2,0.974,0.993,4.07,0.585,3.23,1.9,0.744,0.464,1,1.09,1.52,2.36,–
