Shape,A,d,tw,bf,tf,k(des),k(det),gage,wt./ft.,bf/(2*tf),d/tw,Ix,Sx,rx,y(bar),Zx,yp,Iy,Sy,ry,Zy,Qs,J,Cw,ro(bar),H
MT2X3,0.875,1.9,0.13,3.8,0.16,0.5,0.5,---,3,11.9,14.6,0.208,0.133,0.493,0.341,0.241,0.112,0.732,0.385,0.926,0.588,1,0.00919,0.00193,1.08,0.942
ST12X60.5,17.8,12.3,0.8,8.05,1.09,2,2,4,60.5,3.69,15.4,259,30.1,3.82,3.63,54.5,1.26,41.5,10.3,1.53,18.1,1,6.38,27.5,5.14,0.64
ST12X53,15.6,12.3,0.62,7.87,1.09,2,2,4,53,3.61,19.8,216,24.1,3.72,3.28,43.3,1.02,38.4,9.76,1.57,16.7,1,5.05,15,4.88,0.686
ST12X50,14.7,12,0.745,7.25,0.87,1.75,1.75,4,50,4.17,16.1,215,26.3,3.83,3.84,47.5,2.16,23.7,6.55,1.27,12,1,3.76,19.5,5.28,0.584
ST12X45,13.2,12,0.625,7.13,0.87,1.75,1.75,4,45,4.1,19.2,190,22.6,3.79,3.6,41.1,1.42,22.3,6.27,1.3,11.2,1,3.01,12.1,5.11,0.615
ST12X40,11.7,12,0.5,7,0.87,1.75,1.75,4,40,4.02,24,162,18.6,3.72,3.3,33.6,0.909,21,6,1.34,10.4,0.876,2.44,6.94,4.88,0.656
ST10X48,14.1,10.2,0.8,7.2,0.92,1.75,1.75,4,48,3.91,12.7,143,20.3,3.18,3.13,36.9,1.35,25,6.93,1.33,12.5,1,4.16,15,4.36,0.625
ST10X43,12.7,10.2,0.66,7.06,0.92,1.75,1.75,4,43,3.84,15.4,124,17.2,3.13,2.91,31.1,0.972,23.3,6.59,1.36,11.6,1,3.3,9.17,4.21,0.659
ST10X37.5,11,10,0.635,6.39,0.795,1.63,1.625,3.5,37.5,4.02,15.7,109,15.8,3.15,3.07,28.6,1.34,14.8,4.62,1.16,8.36,1,2.28,7.21,4.29,0.613
ST10X33,9.7,10,0.505,6.26,0.795,1.63,1.625,3.5,33,3.94,19.8,92.9,12.9,3.1,2.81,23.4,0.841,13.7,4.39,1.19,7.7,1,1.78,4.02,4.1,0.654
ST9X35,10.3,9,0.711,6.25,0.691,1.5,1.5,3.5,35,4.52,12.7,84.5,14,2.87,2.94,25.1,1.78,12,3.84,1.08,7.17,1,2.02,7.03,4.02,0.582
ST9X27.35,8.02,9,0.461,6,0.691,1.5,1.5,3.5,27.35,4.34,19.5,62.3,9.6,2.79,2.51,17.3,0.737,10.4,3.45,1.14,6.06,1,1.16,2.26,3.71,0.66
ST7.5X25,7.34,7.5,0.55,5.64,0.622,1.38,1.375,3.5,25,4.53,13.6,40.5,7.72,2.35,2.25,14,0.826,7.79,2.76,1.03,4.99,1,1.05,2.02,3.22,0.635
ST7.5X21.45,6.3,7.5,0.411,5.5,0.622,1.38,1.375,3.5,21.45,4.42,18.2,32.9,5.99,2.29,2.01,10.8,0.605,7.13,2.59,1.06,4.54,1,0.765,0.995,3.04,0.689
ST6X25,7.33,6,0.687,5.48,0.659,1.44,1.4375,3,25,4.17,8.73,25.1,6.04,1.85,1.84,11,0.758,7.79,2.84,1.03,5.16,1,1.36,1.97,2.6,0.662
ST6X20.4,5.96,6,0.462,5.25,0.659,1.44,1.4375,3,20.4,3.98,13,18.9,4.27,1.78,1.58,7.71,0.577,6.74,2.57,1.06,4.43,1,0.842,0.787,2.42,0.732
ST6X17.5,5.12,6,0.428,5.08,0.544,1.19,1.1875,3,17.5,4.67,14,17.2,3.95,1.83,1.65,7.12,0.543,4.92,1.94,0.98,3.4,1,0.524,0.556,2.49,0.695
ST6X15.9,4.65,6,0.35,5,0.544,1.19,1.1875,3,15.9,4.6,17.1,14.8,3.3,1.78,1.51,5.94,0.48,4.66,1.87,1,3.22,1,0.438,0.364,2.39,0.731
ST5X17.5,5.14,5,0.594,4.94,0.491,1.13,1.125,2.75,17.5,5.03,8.42,12.5,3.62,1.56,1.56,6.58,0.673,4.15,1.68,0.899,3.1,1,0.633,0.725,2.23,0.653
ST5X12.7,3.72,5,0.311,4.66,0.491,1.13,1.125,2.75,12.7,4.75,16.1,7.79,2.05,1.45,1.2,3.7,0.403,3.36,1.44,0.95,2.49,1,0.3,0.173,1.98,0.767
ST4X11.5,3.38,4,0.441,4.17,0.425,1,1,2.25,11.5,4.91,9.07,5,1.76,1.22,1.15,3.19,0.439,2.13,1.02,0.795,1.84,1,0.271,0.168,1.73,0.704
ST4X9.2,2.7,4,0.271,4,0.425,1,1,2.25,9.2,4.71,14.8,3.49,1.14,1.14,0.942,2.07,0.336,1.84,0.922,0.827,1.59,1,0.167,0.0642,1.58,0.788
ST3X8.6,2.53,3,0.465,3.57,0.359,0.813,0.8125,---,8.6,4.97,6.45,2.12,1.02,0.915,0.915,1.85,0.394,1.14,0.642,0.673,1.17,1,0.181,0.0772,1.35,0.705
ST3X6.25,1.83,3,0.232,3.33,0.359,0.813,0.8125,---,6.25,4.64,12.9,1.26,0.547,0.831,0.692,1.01,0.271,0.901,0.541,0.702,0.93,1,0.083,0.0197,1.2,0.819
ST2.5X5,1.46,2.5,0.214,3,0.326,0.75,0.75,---,5,4.6,11.7,0.671,0.348,0.677,0.57,0.65,0.239,0.597,0.398,0.638,0.686,1,0.0568,0.01,1.02,0.839
ST2X4.75,1.4,2,0.326,2.8,0.293,0.75,0.75,---,4.75,4.78,6.13,0.462,0.319,0.575,0.553,0.592,0.25,0.444,0.317,0.564,0.565,1,0.059,0.00995,0.903,0.797
ST2X3.85,1.13,2,0.193,2.66,0.293,0.75,0.75,---,3.85,4.54,10.4,0.307,0.198,0.522,0.448,0.381,0.204,0.374,0.281,0.576,0.485,1,0.0364,0.00457,0.834,0.869
ST1.5X3.75,1.1,1.5,0.349,2.51,0.26,0.625,0.625,---,3.75,4.83,4.3,0.2,0.187,0.426,0.432,0.351,0.219,0.289,0.23,0.513,0.411,1,0.0432,0.00496,0.732,0.83
ST1.5X2.85,0.83,1.5,0.17,2.33,0.26,0.625,0.625,---,2.85,4.48,8.82,0.114,0.097,0.37,0.329,0.196,0.171,0.223,0.192,0.518,0.328,1,0.0216,0.00189,0.667,0.911
