Shape,A,h,b,t(nom),t(des),wt./ft.,b/t,h/t,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,h(flat),b(flat),J,C,A(surf)
HSS8X3X1/2,8.81,8,3,0.5,0.465,31.84,3.44,14.2,58.6,14.6,2.58,20,11.7,7.81,1.15,9.64,5.75,---,34.3,17.4,1.7
HSS8X3X3/8,6.88,8,3,0.375,0.349,24.93,5.59,19.9,48.5,12.1,2.65,16.1,10,6.63,1.2,7.88,6.3125,---,28.5,14,1.73
HSS8X3X5/16,5.85,8,3,0.3125,0.291,21.21,7.32,24.5,42.4,10.6,2.69,13.9,8.81,5.87,1.23,6.84,6.625,---,24.9,12.1,1.75
HSS8X3X1/4,4.77,8,3,0.25,0.233,17.32,9.87,31.3,35.5,8.88,2.73,11.5,7.49,4.99,1.25,5.7,6.875,---,20.8,10,1.77
HSS8X3X3/16,3.63,8,3,0.1875,0.174,13.25,14.3,43,27.8,6.94,2.77,8.87,5.94,3.96,1.28,4.43,7.1875,2.1875,16.2,7.68,1.78
HSS8X3X1/8,2.46,8,3,0.125,0.116,9.01,22.8,65.9,19.3,4.83,2.8,6.11,4.2,2.8,1.31,3.07,7.4375,2.4375,11.3,5.27,1.8
HSS8X2X3/8,6.18,8,2,0.375,0.349,22.37,2.73,19.9,38.2,9.56,2.49,13.4,3.73,3.73,0.777,4.61,6.3125,---,12.1,8.65,1.57
HSS8X2X5/16,5.26,8,2,0.3125,0.291,19.08,3.88,24.5,33.7,8.43,2.53,11.6,3.38,3.38,0.802,4.06,6.625,---,10.9,7.57,1.58
HSS8X2X1/4,4.3,8,2,0.25,0.233,15.62,5.58,31.3,28.5,7.12,2.57,9.68,2.94,2.94,0.827,3.43,6.875,---,9.36,6.35,1.6
HSS8X2X3/16,3.28,8,2,0.1875,0.174,11.97,8.51,43,22.4,5.61,2.61,7.51,2.39,2.39,0.853,2.7,7.1875,---,7.48,4.95,1.62
HSS8X2X1/8,2.23,8,2,0.125,0.116,8.16,14.2,65.9,15.7,3.93,2.65,5.19,1.72,1.72,0.879,1.9,7.4375,---,5.3,3.44,1.63
HSS7X7X5/8,14,7,7,0.625,0.581,50.81,9.05,9.05,93.4,26.7,2.58,33.1,93.4,26.7,2.58,33.1,4.1875,4.1875,158,47.1,2.17
HSS7X7X1/2,11.6,7,7,0.5,0.465,42.05,12,12,80.5,23,2.63,27.9,80.5,23,2.63,27.9,4.75,4.75,133,39.3,2.2
HSS7X7X3/8,8.97,7,7,0.375,0.349,32.58,17,17,65,18.6,2.69,22.1,65,18.6,2.69,22.1,5.3125,5.3125,105,30.7,2.23
HSS7X7X5/16,7.59,7,7,0.3125,0.291,27.59,21.1,21.1,56.1,16,2.72,18.9,56.1,16,2.72,18.9,5.625,5.625,89.7,26.1,2.25
HSS7X7X1/4,6.17,7,7,0.25,0.233,22.42,27,27,46.5,13.3,2.75,15.5,46.5,13.3,2.75,15.5,5.875,5.875,73.5,21.3,2.27
HSS7X7X3/16,4.67,7,7,0.1875,0.174,17.08,37.2,37.2,36,10.3,2.77,11.9,36,10.3,2.77,11.9,6.1875,6.1875,56.1,16.2,2.28
HSS7X7X1/8,3.16,7,7,0.125,0.116,11.56,57.3,57.3,24.8,7.09,2.8,8.13,24.8,7.09,2.8,8.13,6.4375,6.4375,38.2,11,2.3
HSS7X5X1/2,9.74,7,5,0.5,0.465,35.24,7.74,12,60.6,17.3,2.5,21.9,35.6,14.2,1.91,17.3,4.75,2.75,75.8,27.2,1.87
HSS7X5X3/8,7.58,7,5,0.375,0.349,27.48,11.3,17,49.5,14.1,2.56,17.5,29.3,11.7,1.97,13.8,5.3125,3.3125,60.6,21.4,1.9
HSS7X5X5/16,6.43,7,5,0.3125,0.291,23.34,14.2,21.1,43,12.3,2.59,15,25.5,10.2,1.99,11.9,5.625,3.625,52.1,18.3,1.92
HSS7X5X1/4,5.24,7,5,0.25,0.233,19.02,18.5,27,35.9,10.2,2.62,12.4,21.3,8.53,2.02,9.83,5.875,3.875,42.9,15,1.93
HSS7X5X3/16,3.98,7,5,0.1875,0.174,14.53,25.7,37.2,27.9,7.96,2.65,9.52,16.6,6.65,2.05,7.57,6.1875,4.1875,32.9,11.4,1.95
HSS7X5X1/8,2.7,7,5,0.125,0.116,9.86,40.1,57.3,19.3,5.52,2.68,6.53,11.6,4.63,2.07,5.2,6.4375,4.4375,22.5,7.79,1.97
HSS7X4X1/2,8.81,7,4,0.5,0.465,31.84,5.59,12,50.7,14.5,2.4,18.8,20.7,10.4,1.53,12.6,4.75,---,50.5,21.1,1.7
HSS7X4X3/8,6.88,7,4,0.375,0.349,24.93,8.45,17,41.8,11.9,2.46,15.1,17.3,8.63,1.58,10.2,5.3125,2.3125,41,16.8,1.73
HSS7X4X5/16,5.85,7,4,0.3125,0.291,21.21,10.8,21.1,36.5,10.4,2.5,13.1,15.2,7.58,1.61,8.83,5.625,2.625,35.4,14.4,1.75
HSS7X4X1/4,4.77,7,4,0.25,0.233,17.32,14.2,27,30.5,8.72,2.53,10.8,12.8,6.38,1.64,7.33,5.875,2.875,29.3,11.8,1.77
HSS7X4X3/16,3.63,7,4,0.1875,0.174,13.25,20,37.2,23.8,6.81,2.56,8.33,10,5.02,1.66,5.67,6.125,3.125,22.7,9.07,1.78
HSS7X4X1/8,2.46,7,4,0.125,0.116,9.01,31.5,57.3,16.6,4.73,2.59,5.73,7.03,3.51,1.69,3.91,6.4375,3.4375,15.6,6.2,1.8
HSS7X3X1/2,7.88,7,3,0.5,0.465,28.43,3.44,12,40.7,11.6,2.27,15.8,10.2,6.8,1.14,8.46,4.75,---,28.6,15,1.53
HSS7X3X3/8,6.18,7,3,0.375,0.349,22.37,5.59,17,34.1,9.73,2.35,12.8,8.71,5.81,1.19,6.95,5.3125,---,23.9,12.1,1.57
HSS7X3X5/16,5.26,7,3,0.3125,0.291,19.08,7.32,21.1,29.9,8.54,2.38,11.1,7.74,5.16,1.21,6.05,5.625,---,20.9,10.5,1.58
HSS7X3X1/4,4.3,7,3,0.25,0.233,15.62,9.87,27,25.2,7.19,2.42,9.22,6.6,4.4,1.24,5.06,5.875,---,17.5,8.68,1.6
HSS7X3X3/16,3.28,7,3,0.1875,0.174,11.97,14.3,37.2,19.8,5.65,2.45,7.14,5.24,3.5,1.26,3.94,6.1875,2.1875,13.7,6.69,1.62
HSS7X3X1/8,2.23,7,3,0.125,0.116,8.16,22.8,57.3,13.8,3.95,2.49,4.93,3.71,2.48,1.29,2.73,6.4375,2.4375,9.48,4.6,1.63
HSS7X2X1/4,3.84,7,2,0.25,0.233,13.91,5.58,27,19.8,5.67,2.27,7.64,2.58,2.58,0.819,3.02,5.875,---,7.95,5.52,1.43
HSS7X2X3/16,2.93,7,2,0.1875,0.174,10.7,8.51,37.2,15.7,4.49,2.31,5.95,2.1,2.1,0.845,2.39,6.1875,---,6.35,4.32,1.45
HSS7X2X1/8,2,7,2,0.125,0.116,7.31,14.2,57.3,11.1,3.16,2.35,4.13,1.52,1.52,0.871,1.68,6.4375,---,4.51,3,1.47
HSS6X6X5/8,11.7,6,6,0.625,0.581,42.3,7.33,7.33,55.2,18.4,2.17,23.2,55.2,18.4,2.17,23.2,3.1875,3.1875,94.9,33.4,1.83
HSS6X6X1/2,9.74,6,6,0.5,0.465,35.24,9.91,9.91,48.3,16.1,2.23,19.8,48.3,16.1,2.23,19.8,3.75,3.75,81.1,28.1,1.87
HSS6X6X3/8,7.58,6,6,0.375,0.349,27.48,14.2,14.2,39.5,13.2,2.28,15.8,39.5,13.2,2.28,15.8,4.3125,4.3125,64.6,22.1,1.9
HSS6X6X5/16,6.43,6,6,0.3125,0.291,23.34,17.6,17.6,34.3,11.4,2.31,13.6,34.3,11.4,2.31,13.6,4.625,4.625,55.4,18.9,1.92
HSS6X6X1/4,5.24,6,6,0.25,0.233,19.02,22.7,22.7,28.6,9.54,2.34,11.2,28.6,9.54,2.34,11.2,4.875,4.875,45.6,15.4,1.93
HSS6X6X3/16,3.98,6,6,0.1875,0.174,14.53,31.5,31.5,22.3,7.42,2.37,8.63,22.3,7.42,2.37,8.63,5.1875,5.1875,35,11.8,1.95
HSS6X6X1/8,2.7,6,6,0.125,0.116,9.86,48.7,48.7,15.5,5.15,2.39,5.92,15.5,5.15,2.39,5.92,5.4375,5.4375,23.9,8.03,1.97
HSS6X5X1/2,8.81,6,5,0.5,0.465,31.84,7.74,9.91,41.1,13.7,2.16,17.2,30.8,12.3,1.87,15.2,3.75,2.75,59.8,23,1.7
HSS6X5X3/8,6.88,6,5,0.375,0.349,24.93,11.3,14.2,33.9,11.3,2.22,13.8,25.5,10.2,1.92,12.2,4.3125,3.3125,48.1,18.2,1.73
HSS6X5X5/16,5.85,6,5,0.3125,0.291,21.21,14.2,17.6,29.6,9.85,2.25,11.9,22.3,8.91,1.95,10.5,4.625,3.625,41.4,15.6,1.75
HSS6X5X1/4,4.77,6,5,0.25,0.233,17.32,18.5,22.7,24.7,8.25,2.28,9.87,18.7,7.47,1.98,8.72,4.875,3.875,34.2,12.8,1.77
HSS6X5X3/16,3.63,6,5,0.1875,0.174,13.25,25.7,31.5,19.3,6.44,2.31,7.62,14.6,5.84,2.01,6.73,5.1875,4.1875,26.3,9.76,1.78
HSS6X5X1/8,2.46,6,5,0.125,0.116,9.01,40.1,48.7,13.4,4.48,2.34,5.24,10.2,4.07,2.03,4.63,5.4375,4.4375,18,6.66,1.8
HSS6X4X1/2,7.88,6,4,0.5,0.465,28.43,5.59,9.91,34,11.3,2.08,14.6,17.8,8.89,1.5,11,3.75,---,40.3,17.8,1.53
HSS6X4X3/8,6.18,6,4,0.375,0.349,22.37,8.45,14.2,28.3,9.43,2.14,11.9,14.9,7.47,1.55,8.94,4.3125,2.3125,32.8,14.2,1.57
HSS6X4X5/16,5.26,6,4,0.3125,0.291,19.08,10.8,17.6,24.8,8.27,2.17,10.3,13.2,6.58,1.58,7.75,4.625,2.625,28.4,12.2,1.58
HSS6X4X1/4,4.3,6,4,0.25,0.233,15.62,14.2,22.7,20.9,6.96,2.2,8.53,11.1,5.56,1.61,6.45,4.875,2.875,23.6,10.1,1.6
HSS6X4X3/16,3.28,6,4,0.1875,0.174,11.97,20,31.5,16.4,5.46,2.23,6.6,8.76,4.38,1.63,5,5.1875,3.1875,18.2,7.74,1.62
HSS6X4X1/8,2.23,6,4,0.125,0.116,8.16,31.5,48.7,11.4,3.81,2.26,4.56,6.15,3.08,1.66,3.46,5.4375,3.4375,12.6,5.3,1.63
HSS6X3X1/2,6.95,6,3,0.5,0.465,25.03,3.44,9.91,26.8,8.95,1.97,12.1,8.69,5.79,1.12,7.28,3.75,---,23.1,12.7,1.37
HSS6X3X3/8,5.48,6,3,0.375,0.349,19.82,5.59,14.2,22.7,7.57,2.04,9.9,7.48,4.99,1.17,6.03,4.3125,---,19.3,10.3,1.4
HSS6X3X5/16,4.68,6,3,0.3125,0.291,16.96,7.32,17.6,20.1,6.69,2.07,8.61,6.67,4.45,1.19,5.27,4.625,---,16.9,8.91,1.42
HSS6X3X1/4,3.84,6,3,0.25,0.233,13.91,9.87,22.7,17,5.66,2.1,7.19,5.7,3.8,1.22,4.41,4.875,---,14.2,7.39,1.43
HSS6X3X3/16,2.93,6,3,0.1875,0.174,10.7,14.3,31.5,13.4,4.47,2.14,5.59,4.55,3.03,1.25,3.45,5.1875,2.1875,11.1,5.71,1.45
HSS6X3X1/8,2,6,3,0.125,0.116,7.31,22.8,48.7,9.43,3.14,2.17,3.87,3.23,2.15,1.27,2.4,5.4375,2.4375,7.73,3.93,1.47
HSS6X2X3/8,4.78,6,2,0.375,0.349,17.27,2.73,14.2,17.1,5.71,1.89,7.93,2.77,2.77,0.76,3.46,4.3125,---,8.42,6.35,1.23
HSS6X2X5/16,4.1,6,2,0.3125,0.291,14.83,3.88,17.6,15.3,5.11,1.93,6.95,2.52,2.52,0.785,3.07,4.625,---,7.6,5.58,1.25
HSS6X2X1/4,3.37,6,2,0.25,0.233,12.21,5.58,22.7,13.1,4.37,1.97,5.84,2.21,2.21,0.81,2.61,4.875,---,6.55,4.7,1.27
HSS6X2X3/16,2.58,6,2,0.1875,0.174,9.42,8.51,31.5,10.5,3.49,2.01,4.58,1.8,1.8,0.836,2.07,5.1875,---,5.24,3.68,1.28
HSS6X2X1/8,1.77,6,2,0.125,0.116,6.46,14.2,48.7,7.42,2.47,2.05,3.19,1.31,1.31,0.861,1.46,5.4375,---,3.72,2.57,1.3
HSS5-1/2X5-1/2X3/8,6.88,5.5,5.5,0.375,0.349,24.93,12.8,12.8,29.7,10.8,2.08,13.1,29.7,10.8,2.08,13.1,3.8125,3.8125,49,18.4,1.73
HSS5-1/2X5-1/2X5/16,5.85,5.5,5.5,0.3125,0.291,21.21,15.9,15.9,25.9,9.43,2.11,11.3,25.9,9.43,2.11,11.3,4.125,4.125,42.2,15.7,1.75
HSS5-1/2X5-1/2X1/4,4.77,5.5,5.5,0.25,0.233,17.32,20.6,20.6,21.7,7.9,2.13,9.32,21.7,7.9,2.13,9.32,4.375,4.375,34.8,12.9,1.77
HSS5-1/2X5-1/2X3/16,3.63,5.5,5.5,0.1875,0.174,13.25,28.6,28.6,17,6.17,2.16,7.19,17,6.17,2.16,7.19,4.6875,4.6875,26.7,9.85,1.78
HSS5-1/2X5-1/2X1/8,2.46,5.5,5.5,0.125,0.116,9.01,44.4,44.4,11.8,4.3,2.19,4.95,11.8,4.3,2.19,4.95,4.9375,4.9375,18.3,6.72,1.8
HSS5X5X1/2,7.88,5,5,0.5,0.465,28.43,7.74,7.74,26,10.4,1.82,13.1,26,10.4,1.82,13.1,2.75,2.75,44.6,18.7,1.53
HSS5X5X3/8,6.18,5,5,0.375,0.349,22.37,11.3,11.3,21.7,8.68,1.87,10.6,21.7,8.68,1.87,10.6,3.3125,3.3125,36.1,14.9,1.57
HSS5X5X5/16,5.26,5,5,0.3125,0.291,19.08,14.2,14.2,19,7.62,1.9,9.16,19,7.62,1.9,9.16,3.625,3.625,31.2,12.8,1.58
HSS5X5X1/4,4.3,5,5,0.25,0.233,15.62,18.5,18.5,16,6.41,1.93,7.61,16,6.41,1.93,7.61,3.875,3.875,25.8,10.5,1.6
